0|Token.Literal.String.Affix|'r'
5352|Token.Keyword|'|Must|'
5358|Token.Literal.String.Doc|' provide a test case with empty lines in CSV-like sections.\n'
5418|Token.Literal.String.Doc|'\t\t\tTools '
5427|Token.Keyword|'|must|'
5433|Token.Literal.String.Doc|' accept these empty lines as part of the section content.\n'
5491|Token.Literal.String.Doc|'\t\t\t'
5494|Token.Keyword|'|Must|'
5500|Token.Literal.String.Doc|' provide a test for deliberately inserted whitespace in\n'
5556|Token.Literal.String.Doc|'\t\t\tref-directives, which should be preserved as part of the content.\n'
5625|Token.Literal.String.Doc|'\t\t\t'
5628|Token.Keyword|'|Must|'
5634|Token.Literal.String.Doc|' provide a test for semantics roles not defined in waterloo.\n'
5695|Token.Literal.String.Doc|'\t\t\t'
5698|Token.Keyword|'|Must|'
5704|Token.Literal.String.Doc|' provide a test for linesline connectors followed by whitespace.\n'
5769|Token.Generic.Heading|'\tNotes:\n'
5777|Token.Literal.String.Doc|'\t\t'
5779|Token.Generic.Heading|'Trailing whitespace in Section labels:'
5817|Token.Literal.String.Doc|'\n'
5818|Token.Literal.String.Doc|'\t\t\t"Preamble:" in this docstring has trailing spaces,\n'
5872|Token.Literal.String.Doc|'\t\t\twhich should be ignored when parsing the section label.\n'
5931|Token.Literal.String.Doc|'\t\t'
5933|Token.Generic.Heading|'Testing ref:'
5945|Token.Literal.String.Doc|'\n'
5946|Token.Literal.String.Doc|'\t\t\t'
5949|Token.Keyword|'|ref|'
5954|Token.Literal.String|'`'
5955|Token.Name.Namespace|'label'
5960|Token.Literal.String|' <'
5962|Token.Name.Tag|' target_in_rst'
5976|Token.Literal.String|'>`'
5978|Token.Literal.String.Doc|'\n'
5979|Token.Literal.String.Doc|'\t\t\t'
5982|Token.Keyword|'|ref|'
5987|Token.Literal.String|'`'
5988|Token.Name.Namespace|' label'
5994|Token.Literal.String|' <'
5996|Token.Name.Tag|'wtrl://qi.of.documented.object'
6026|Token.Literal.String|'>`'
6028|Token.Literal.String.Doc|'\n'
6029|Token.Literal.String.Doc|'\t\t\t'
6032|Token.Keyword|'|ref|'
6037|Token.Literal.String|'`'
6038|Token.Name.Namespace|'label'
6043|Token.Literal.String|' <'
6045|Token.Name.Tag|'https://link.com'
6061|Token.Literal.String|'>`'
6064|Token.Literal.String.Doc|'\n'
6065|Token.Literal.String.Doc|'\t\t\t'
6068|Token.Keyword|'|ref|'
6073|Token.Error|'`label https://link.com`'
6097|Token.Literal.String.Doc|'\n'
6098|Token.Literal.String.Doc|'\t\t\t'
6101|Token.Keyword|'|ref|'
6106|Token.Error|'`label`'
6113|Token.Literal.String.Doc|'\n'
6114|Token.Literal.String.Doc|'\t\t'
6116|Token.Generic.Heading|'Testing undefined roles:'
6140|Token.Literal.String.Doc|'\n'
6141|Token.Literal.String.Doc|'\t\t\t'
6144|Token.Literal.String.Doc|'|my_fancy_role|'
6159|Token.Literal.String.Doc|'`some content`'
6173|Token.Literal.String.Doc|' <- should be treated as literal text, not a role.\n'
6224|Token.Literal.String.Doc|'\t\t\t|not_valid| <- should be treated as literal text, not a role.\n'
6289|Token.Literal.String.Doc|'\t\t'
6291|Token.Generic.Heading|'Testing line connectors with whitespace:'
6331|Token.Literal.String.Doc|'\n'
6332|Token.Literal.String.Doc|'\t\t\tThis is a line with a connector at the end, followed by three spaces. \\'
6406|Token.Keyword|'\\'
6407|Token.Literal.String.Doc|'   \n'
6411|Token.Literal.String.Doc|'\t\t\tThis is the continuation of the previous line.\n'
6461|Token.Generic.Heading|'\tReturns:\n'
6471|Token.Literal.String.Doc|'\t\tfloat: The input converted to a float.\n'
6512|Token.Literal.String.Doc|'\t"""'
6516|Token.Text.Whitespace|'\n'
6517|Token.Text|'\t'
6518|Token.Keyword|'return'
6524|Token.Text|' '
6525|Token.Name.Builtin|'float'
6530|Token.Punctuation|'('
6531|Token.Name|'a'
6532|Token.Punctuation|')'
6533|Token.Text.Whitespace|'\n'
6534|Token.Text.Whitespace|'\n'
6535|Token.Keyword|'def'
6538|Token.Text.Whitespace|' '
6539|Token.Name.Function|'foo_state_leak_a'
6555|Token.Punctuation|'('
6556|Token.Punctuation|')'
6557|Token.Punctuation|':'
6558|Token.Text.Whitespace|'\n'
6559|Token.Text.Whitespace|'\t'
6560|Token.Literal.String.Doc|'"""\n\tNot a waterloo docstring\n\t"""'
6594|Token.Text.Whitespace|'\n'
6595|Token.Keyword|'def'
6598|Token.Text.Whitespace|' '
6599|Token.Name.Function|'foo_state_leak_b'
6615|Token.Punctuation|'('
6616|Token.Punctuation|')'
6617|Token.Punctuation|':'
6618|Token.Text.Whitespace|'\n'
6619|Token.Text.Whitespace|'\t'
6620|Token.Literal.String.Doc|'"""\n'
6624|Token.Generic.Heading|'\tPreamble:\n'
6635|Token.Literal.String.Doc|'\t\t'
6637|Token.Generic.Subheading|'profile:'
6645|Token.Literal.String.Doc|'\n'
6646|Token.Literal.String.Doc|'\t\t\t'
6649|Token.Name.Constant|'function'
6657|Token.Literal.String.Doc|'\n'
6658|Token.Literal.String.Doc|'\t\t'
6660|Token.Generic.Subheading|'normative_sections:'
6679|Token.Literal.String.Doc|'\n'
6680|Token.Literal.String.Doc|'\t\t\t'
6683|Token.Name.Constant|'Contract'
6691|Token.Literal.String.Doc|','
6692|Token.Literal.String.Doc|' '
6693|Token.Name.Constant|'Parameters'
6703|Token.Literal.String.Doc|','
6704|Token.Literal.String.Doc|' '
6705|Token.Name.Constant|'Returns'
6712|Token.Literal.String.Doc|','
6713|Token.Literal.String.Doc|' '
6714|Token.Name.Constant|'Raises'
6720|Token.Literal.String.Doc|'\n'
6721|Token.Generic.Heading|'\tContract:\n'
6732|Token.Literal.String.Doc|'\t\t'
6734|Token.Generic.Subheading|'general:'
6742|Token.Literal.String.Doc|'\n'
6743|Token.Literal.String.Doc|'\t\t\t'
6746|Token.Keyword|'|Must|'
6752|Token.Literal.String.Doc|' provide test cases for state leak between functions.\n'
6806|Token.Literal.String.Doc|'\t"""'
6810|Token.Text.Whitespace|'\n'
6811|Token.Keyword|'def'
6814|Token.Text.Whitespace|' '
6815|Token.Name.Function|'foo_state_leak_c'
6831|Token.Punctuation|'('
6832|Token.Punctuation|')'
6833|Token.Punctuation|':'
6834|Token.Text.Whitespace|'\n'
6835|Token.Text.Whitespace|'\t'
6836|Token.Literal.String.Doc|'"""\n\tNot a waterloo docstring\n\t"""'
6870|Token.Text.Whitespace|'\n'
6871|Token.Text.Whitespace|'\n'
6872|Token.Text.Whitespace|'\n'
6873|Token.Comment.Single|'#----- Visual Studio Code generateDocstring edge cases ------------------#'
6947|Token.Text.Whitespace|'\n'
6948|Token.Text.Whitespace|'\n'
6949|Token.Keyword|'def'
6952|Token.Text.Whitespace|' '
6953|Token.Name.Function|'func_with_comment_edgecase'
6979|Token.Punctuation|'('
6980|Token.Punctuation|')'
6981|Token.Text|' '
6982|Token.Operator|'-'
6983|Token.Operator|'>'
6984|Token.Text|' '
6985|Token.Keyword.Constant|'None'
6989|Token.Punctuation|':'
6990|Token.Text|' '
6991|Token.Comment.Single|'# todo'
6997|Token.Text.Whitespace|'\n'
6998|Token.Text.Whitespace|'\t'
6999|Token.Literal.String.Doc|'"""\n'
7003|Token.Generic.Heading|'\tPreamble:\n'
7014|Token.Literal.String.Doc|'\t\t'
7016|Token.Generic.Subheading|'profile:'
7024|Token.Literal.String.Doc|'\n'
7025|Token.Literal.String.Doc|'\t\t\t'
7028|Token.Name.Constant|'function'
7036|Token.Literal.String.Doc|'\n'
7037|Token.Literal.String.Doc|'\t\t'
7039|Token.Generic.Subheading|'normative_sections:'
7058|Token.Literal.String.Doc|'\n'
7059|Token.Literal.String.Doc|'\t\t\t'
7062|Token.Name.Constant|'Contract'
7070|Token.Literal.String.Doc|','
7071|Token.Literal.String.Doc|' '
7072|Token.Name.Constant|'Parameters'
7082|Token.Literal.String.Doc|','
7083|Token.Literal.String.Doc|' '
7084|Token.Name.Constant|'Returns'
7091|Token.Literal.String.Doc|','
7092|Token.Literal.String.Doc|' '
7093|Token.Name.Constant|'Raises'
7099|Token.Literal.String.Doc|'\n'
7100|Token.Generic.Heading|'\tContract:\n'
7111|Token.Literal.String.Doc|'\t\t'
7113|Token.Generic.Subheading|'general:'
7121|Token.Literal.String.Doc|'\n'
7122|Token.Literal.String.Doc|'\t\t\t'
7125|Token.Keyword|'|Must|'
7131|Token.Literal.String.Doc|' provide an edge case for an inline comment in the function signature.\n'
7202|Token.Generic.Heading|'\tParameters:\n'
7215|Token.Generic.Heading|'\tReturns:\n'
7225|Token.Literal.String.Doc|'\t\t'
7227|Token.Keyword.Constant|'|None|'
7233|Token.Literal.String.Doc|'\n'
7234|Token.Generic.Heading|'\tRaises:\n'
7243|Token.Generic.Heading|'\tNotes:\n'
7251|Token.Literal.String.Doc|'\t\t'
7253|Token.Generic.Heading|'Edge case:'
7263|Token.Literal.String.Doc|'\n'
7264|Token.Literal.String.Doc|'\t\t\tThe function signature contains an inline comment,\n'
7318|Token.Literal.String.Doc|'\t\t\twhich should not interfere with synthesizing a function\n'
7377|Token.Literal.String.Doc|'\t\t\tdefinition by appending "pass".\n'
7412|Token.Literal.String.Doc|'\t"""'
7416|Token.Text.Whitespace|'\n'
7417|Token.Text|'\t'
7418|Token.Keyword|'pass'
7422|Token.Text.Whitespace|'\n'
